Student,Pronouns,ClassTime,IntLeadership,ExpLeadership,IntElecProto,ExpElecProto,IntProg,ExpProg,IntMechCAD,ExpMechCAD,IntMechFab,ExpMechFab,Prefs,AntiPrefs,ProjTopics
YL,he/him,C,3,2,4,3,4,4,2,1,3,1,SB;YX;RB,ZV;FE,food makers;speech recognizers;mechatrionic smart speaker / home assistants;mobile robots;projectile launchers;gantry systems
YN,he/him,B,4,3,1,2,3,2,4,3,4,4,,,food makers;art makers;music makers;responsive playground equipment;part sorters;mobile robots;music audio-visualizers
YO,he/him,B,2,3,2,2,2,3,5,4,5,4,CT;GD,FJ;VR,part sorters;food makers;mobile robots;responsive playground equipment
YP,he/him,B,3,4,4,1,5,3,2,2,2,1,,VR;YP,mechatronic penny arcade games;mobile robots;projectile launchers
YQ,he/him,B,2,3,4,5,5,4,1,1,1,1,JD,,food makers;speech recognizers;mechatronic puzzle boxes;responsive playground equipment;mechatrionic smart speaker / home assistants;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;mobile robots;gantry systems
YV,she/her,C,4,5,4,2,3,2,4,4,4,4,XG;HQ;IO;ZW,,reactive kinetic sculptures;art makers;music makers;mobile robots
YX,he/him,C,2,4,3,1,1,3,4,2,5,4,SB;RB;YL,MP,art makers;reactive kinetic sculptures;mobile robots;projectile launchers;gantry systems
ZA,he/him,A,4,4,5,4,4,4,2,3,3,1,TE;LS;KA,MP;FE,reactive kinetic sculptures;art makers;mobile robots
ZB,she/her,A,4,4,3,3,3,5,5,3,5,3,XG;JS;FN;BO,PO,food makers;art makers;mobile robots;gantry systems
ZV,he/him,A,3,2,2,1,3,1,4,3,5,4,,,food makers;mechatronic puzzle boxes;mechatrionic smart speaker / home assistants;mechatronic penny arcade games;mobile robots;projectile launchers;music audio-visualizers
ZW,they/them,A,4,4,5,2,4,1,4,4,5,4,PW;KM;XG;IO;YV;HQ,XR,mechatrionic smart speaker / home assistants;food makers;projectile launchers
